scenario_id,title,ticker,event_date,difficulty,category,option_type,stock_price,strike_price,stock_price_at_expiration,expiration_status,time_to_expiration_months,volatility_percent,risk_free_rate_percent,market_option_price,investment_choices,pre_decision_context,setup,decision_prompt,take_label,skip_label,best_action,post_event_outcome,explanation,lesson,source_name,source_url,simplification_note,quiz_flow,starting_bank,take_confirmation_prompt,skip_bank_effect
1,Nvidia Earnings: High Expectations,NVDA,2024-08-28,Hard,Earnings / expectations,Call,125,130,121.35,Out-of-the-Money,1,70,4.0,11.02,"$500|$1,000|$2,000","Nvidia is about to report earnings during the AI boom. The company has been one of the market's strongest performers, and investors expect another strong report. Option premiums are elevated because traders expect a large move.","You are considering a short-term call option. The company is strong, but the stock has already risen sharply and expectations are extremely high.","Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,skip,"After the report, the stock fell because the forecast did not impress investors enough relative to very high expectations.","This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. A strong company does not automatically make a call option attractive. Expectations and volatility can make a popular trade overpriced.",A strong company does not automatically make a call option attractive. Expectations and volatility can make a popular trade overpriced.,Reuters,https://www.reuters.com/technology/nvidias-forecast-dampens-ai-enthusiasm-other-tech-stocks-2024-08-28/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
2,CrowdStrike Outage: Cybersecurity Shock,CRWD,2024-07-19,Medium,Breaking news / operational risk,Put,340,300,357.0,Out-of-the-Money,6,95,5.0,15.28,"$500|$1,000|$2,000","A major global technology outage has been linked to a CrowdStrike software update. The company says the issue is not a cyberattack and that a fix has been deployed, but airlines, banks, and other businesses are still dealing with disruptions.",You are considering a short-term put option after the first news breaks but before the full business impact is clear.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,take,"CrowdStrike shares fell sharply as investors weighed customer damage, possible compensation costs, and reputational risk.","This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. Operational failures can create downside risk even for high-quality technology companies.",Operational failures can create downside risk even for high-quality technology companies.,Reuters,https://www.reuters.com/technology/crowdstrike-says-actively-working-with-customers-impacted-by-outage-2024-07-19/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
3,Tesla Price Cuts: Demand Warning,TSLA,2024-04-22,Medium,Earnings / demand risk,Put,141,135,251.37,Out-of-the-Money,3,60,4.5,5.92,"$500|$1,000|$2,000","Tesla has been cutting prices before earnings, and the stock has already fallen sharply for the year. Investors are debating whether lower prices signal weaker demand or a smart move to defend market share.",You are considering a short-term put option before the earnings report.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,take,"Shares remained under pressure as investors focused on price cuts, weaker demand signals, and uncertainty around margins.","This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. Price cuts can help sales, but they can also signal margin pressure and weaker demand.","Price cuts can help sales, but they can also signal margin pressure and weaker demand.",Reuters,https://www.reuters.com/business/autos-transportation/tesla-shares-drop-price-cuts-run-up-earnings-2024-04-22/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
4,Fed Pause: Rate-Hike Relief Rally,SPY,2023-11-01,Medium,Macro / interest rates,Call,420,425,472.62,In-the-Money,2,18,5.5,6.16,"$500|$1,000|$2,000","The Federal Reserve is about to announce its rate decision. Inflation has been a concern, but some investors hope the Fed may be near the end of its rate-hiking cycle.",You are considering a short-term SPY call option before the Fed announcement.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,take,Stocks rallied after the Fed held rates steady and investors became more optimistic that rate hikes might be ending.,"This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. Interest-rate expectations can move the whole market, not just individual companies.","Interest-rate expectations can move the whole market, not just individual companies.",Reuters,https://www.reuters.com/markets/us/futures-slip-investors-await-fed-rate-verdict-2023-11-01/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
5,Meta Earnings: Efficiency and Dividend Signal,META,2024-02-01,Medium,Earnings / capital return,Call,394,410,502.3,In-the-Money,1,45,5.0,12.96,"$500|$1,000|$2,000",Meta is about to report earnings after a major cost-cutting push. Investors are watching whether ad sales are strong and whether management will keep showing financial discipline.,You are considering a short-term call option before earnings.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,take,"Meta surged after strong results, an additional buyback, and its first dividend increased investor confidence.","This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. Earnings are not just about growth. Margins, buybacks, and dividends can change investor perception.","Earnings are not just about growth. Margins, buybacks, and dividends can change investor perception.",Reuters,https://www.reuters.com/technology/meta-shares-jump-after-first-ever-dividend-plan-year-efficiency-pays-off-2024-02-02/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
6,Netflix Subscribers: Streaming Momentum,NFLX,2024-01-23,Medium,Earnings / subscriber growth,Call,492,520,583.5,In-the-Money,1,50,3.75,15.24,"$500|$1,000|$2,000","Netflix is about to report earnings. Investors are watching subscriber growth, the password-sharing crackdown, and whether streaming profitability is improving.",You are considering a short-term call option before earnings.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,take,Netflix jumped after reporting record fourth-quarter subscriber gains that were well above expectations.,"This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. For subscription businesses, user growth can be a major stock-moving signal.","For subscription businesses, user growth can be a major stock-moving signal.",Reuters,https://www.reuters.com/business/netflix-reports-record-fourth-quarter-subscriber-gains-falls-shy-per-share-2024-01-23/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
7,Boeing Safety Crisis: MAX 9 Scrutiny,BA,2024-01-08,Medium,Safety / regulatory risk,Put,249,230,211.0,In-the-Money,1,35,4.25,2.35,"$500|$1,000|$2,000","A Boeing 737 MAX 9 operated by Alaska Airlines suffered a mid-air door plug incident. Regulators are reviewing the issue, and investors are worried about inspections, delivery delays, and reputation damage.",You are considering a short-term put option after the incident becomes public.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,take,Boeing shares fell as safety concerns and regulatory scrutiny intensified.,"This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. Safety and regulatory issues can quickly change the risk profile of an industrial company.",Safety and regulatory issues can quickly change the risk profile of an industrial company.,Reuters,https://www.reuters.com/business/aerospace-defense/no-data-captured-alaska-airlines-737-cockpit-voice-recorder-ntsb-chair-2024-01-08/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
8,Super Micro: Filing Delay Concern,SMCI,2024-08-28,Hard,Accounting / governance risk,Put,548,500,435.4,In-the-Money,3,90,5.5,29.36,"$500|$1,000|$2,000","Super Micro has been a major AI-server winner, but the company delays its annual report after questions about accounting and internal controls. Investors are unsure whether the issue is minor or serious.",You are considering a short-term put option after the filing delay is announced.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,take,Shares slid sharply as investors became concerned about transparency and governance.,"This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. Fast-growing companies can still face major downside if trust in reporting weakens.",Fast-growing companies can still face major downside if trust in reporting weakens.,Reuters,https://www.reuters.com/technology/super-micro-computer-delay-annual-filing-2024-08-28/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
9,Super Micro: Auditor Resignation,SMCI,2024-10-30,Hard,Accounting / governance risk,Put,50,45,25.5,In-the-Money,2,120,3.75,3.18,"$500|$1,000|$2,000",Super Micro announces that its auditor has resigned. Investors now have to evaluate whether the accounting concern is temporary or a serious warning sign.,You are considering a short-term put option after the auditor news but before the market fully prices the long-term consequences.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,take,The stock plunged as the auditor resignation raised concerns about governance and financial reporting controls.,"This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. Auditor resignations are serious because they can damage confidence in a company's financial statements.",Auditor resignations are serious because they can damage confidence in a company's financial statements.,Reuters,https://www.reuters.com/technology/super-micro-computer-says-ernst-young-resigns-its-accountant-shares-tank-2024-10-30/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
10,Intel Turnaround: Dividend Suspension,INTC,2024-08-01,Medium,Earnings / turnaround risk,Put,29,27,23.2,In-the-Money,3,45,5.5,0.57,"$500|$1,000|$2,000","Intel is trying to turn around its chip manufacturing business. Before the market reacts, investors learn that the company plans major layoffs and will suspend its dividend.",You are considering a short-term put option as investors reassess Intel's turnaround risk.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,take,"Intel suffered a major one-day drop as investors reacted to layoffs, a dividend suspension, and weak outlook.","This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. Turnarounds can be risky when cost cuts signal deeper business pressure.",Turnarounds can be risky when cost cuts signal deeper business pressure.,Reuters,https://www.reuters.com/technology/intel-shares-set-fall-most-24-years-it-struggles-with-turnaround-2024-08-02/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
